,id_name,division_name,years,month,temp
696,0,Barisal,1959,1,18
697,0,Barisal,1959,2,19
698,0,Barisal,1959,3,24
699,0,Barisal,1959,4,28
700,0,Barisal,1959,5,28
701,0,Barisal,1959,6,28
702,0,Barisal,1959,7,28
703,0,Barisal,1959,8,27
704,0,Barisal,1959,9,27
705,0,Barisal,1959,10,26
706,0,Barisal,1959,11,22
707,0,Barisal,1959,12,19
708,0,Barisal,1960,1,18
709,0,Barisal,1960,2,22
710,0,Barisal,1960,3,23
711,0,Barisal,1960,4,29
712,0,Barisal,1960,5,29
713,0,Barisal,1960,6,28
714,0,Barisal,1960,7,27
715,0,Barisal,1960,8,28
716,0,Barisal,1960,9,27
717,0,Barisal,1960,10,26
718,0,Barisal,1960,11,22
719,0,Barisal,1960,12,19
720,0,Barisal,1961,1,19
721,0,Barisal,1961,2,19
722,0,Barisal,1961,3,26
723,0,Barisal,1961,4,28
724,0,Barisal,1961,5,28
725,0,Barisal,1961,6,27
726,0,Barisal,1961,7,28
727,0,Barisal,1961,8,28
728,0,Barisal,1961,9,27
729,0,Barisal,1961,10,26
730,0,Barisal,1961,11,22
731,0,Barisal,1961,12,17
732,0,Barisal,1962,1,17
733,0,Barisal,1962,2,20
734,0,Barisal,1962,3,25
735,0,Barisal,1962,4,28
736,0,Barisal,1962,5,27
737,0,Barisal,1962,6,27
738,0,Barisal,1962,7,28
739,0,Barisal,1962,8,27
740,0,Barisal,1962,9,28
741,0,Barisal,1962,10,26
742,0,Barisal,1962,11,22
743,0,Barisal,1962,12,19
744,0,Barisal,1963,1,17
745,0,Barisal,1963,2,21
746,0,Barisal,1963,3,24
747,0,Barisal,1963,4,26
748,0,Barisal,1963,5,27
749,0,Barisal,1963,6,27
750,0,Barisal,1963,7,28
751,0,Barisal,1963,8,28
752,0,Barisal,1963,9,28
753,0,Barisal,1963,10,26
754,0,Barisal,1963,11,22
755,0,Barisal,1963,12,19
756,0,Barisal,1964,1,17
757,0,Barisal,1964,2,21
758,0,Barisal,1964,3,26
759,0,Barisal,1964,4,27
760,0,Barisal,1964,5,27
761,0,Barisal,1964,6,28
762,0,Barisal,1964,7,27
763,0,Barisal,1964,8,28
764,0,Barisal,1964,9,28
765,0,Barisal,1964,10,27
766,0,Barisal,1964,11,23
767,0,Barisal,1964,12,19
768,0,Barisal,1965,1,18
769,0,Barisal,1965,2,20
770,0,Barisal,1965,3,23
771,0,Barisal,1965,4,27
772,0,Barisal,1965,5,28
773,0,Barisal,1965,6,28
774,0,Barisal,1965,7,27
775,0,Barisal,1965,8,27
776,0,Barisal,1965,9,27
777,0,Barisal,1965,10,26
778,0,Barisal,1965,11,23
779,0,Barisal,1965,12,19
780,0,Barisal,1966,1,18
781,0,Barisal,1966,2,22
782,0,Barisal,1966,3,25
783,0,Barisal,1966,4,28
784,0,Barisal,1966,5,29
785,0,Barisal,1966,6,27
786,0,Barisal,1966,7,28
787,0,Barisal,1966,8,27
788,0,Barisal,1966,9,27
789,0,Barisal,1966,10,25
790,0,Barisal,1966,11,23
791,0,Barisal,1966,12,19
792,0,Barisal,1967,1,18
793,0,Barisal,1967,2,21
794,0,Barisal,1967,3,23
795,0,Barisal,1967,4,26
796,0,Barisal,1967,5,28
797,0,Barisal,1967,6,28
798,0,Barisal,1967,7,28
799,0,Barisal,1967,8,27
800,0,Barisal,1967,9,27
801,0,Barisal,1967,10,26
802,0,Barisal,1967,11,21
803,0,Barisal,1967,12,19
804,0,Barisal,1968,1,17
805,0,Barisal,1968,2,19
806,0,Barisal,1968,3,24
807,0,Barisal,1968,4,27
808,0,Barisal,1968,5,28
809,0,Barisal,1968,6,26
810,0,Barisal,1968,7,27
811,0,Barisal,1968,8,28
812,0,Barisal,1968,9,28
813,0,Barisal,1968,10,26
814,0,Barisal,1968,11,23
815,0,Barisal,1968,12,19
816,0,Barisal,1969,1,17
817,0,Barisal,1969,2,21
818,0,Barisal,1969,3,25
819,0,Barisal,1969,4,27
820,0,Barisal,1969,5,28
821,0,Barisal,1969,6,28
822,0,Barisal,1969,7,28
823,0,Barisal,1969,8,27
824,0,Barisal,1969,9,28
825,0,Barisal,1969,10,26
826,0,Barisal,1969,11,23
827,0,Barisal,1969,12,19
828,0,Barisal,1970,1,17
829,0,Barisal,1970,2,20
830,0,Barisal,1970,3,25
831,0,Barisal,1970,4,28
832,0,Barisal,1970,5,28
833,0,Barisal,1970,6,28
834,0,Barisal,1970,7,27
835,0,Barisal,1970,8,28
836,0,Barisal,1970,9,27
837,0,Barisal,1970,10,26
838,0,Barisal,1970,11,22
839,0,Barisal,1970,12,19
840,0,Barisal,1971,1,18
841,0,Barisal,1971,2,19
842,0,Barisal,1971,3,24
843,0,Barisal,1971,4,26
844,0,Barisal,1971,5,27
845,0,Barisal,1971,6,27
846,0,Barisal,1971,7,27
847,0,Barisal,1971,8,26
848,0,Barisal,1971,9,27
849,0,Barisal,1971,10,26
850,0,Barisal,1971,11,22
851,0,Barisal,1971,12,19
852,0,Barisal,1972,1,18
853,0,Barisal,1972,2,18
854,0,Barisal,1972,3,25
855,0,Barisal,1972,4,27
856,0,Barisal,1972,5,29
857,0,Barisal,1972,6,28
858,0,Barisal,1972,7,28
859,0,Barisal,1972,8,27
860,0,Barisal,1972,9,28
861,0,Barisal,1972,10,26
862,0,Barisal,1972,11,23
863,0,Barisal,1972,12,19
864,0,Barisal,1973,1,18
865,0,Barisal,1973,2,21
866,0,Barisal,1973,3,24
867,0,Barisal,1973,4,28
868,0,Barisal,1973,5,27
